sender,receiver,date,location,identifier
SLC,Jean Clemens,3 March 1909,Redding, Conn,UCCL08358 CU-MARK
SLC,Helen K. Blackmer,3 March 1909,Redding, Conn,UCCL08359 CtY-BR
SLC,Dorothy Sturgis,3 March 1909,Redding, Conn,UCCL08361 NNC
SLC,Dorothy Quick,3 March 1909,Redding, Conn,UCCL08360 CU-MARK
SLC,Henry H. Rogers,4 March 1909,Redding, Conn,UCCL08362 MFai
SLC per Ralph W. Ashcroft,Unidentified,4 March 1909,Redding, Conn,UCCL11605 Axelrod
Jean Clemens,SLC,5 March 1909,Montclair, N.J,UCCL08363 CU-MARK
SLC,Dorothy Quick,5–31 March 1909,Redding, Conn,UCCL08364 CU-MARK
SLC per IVL,Harry Lounsbury,6 March 1909,Redding, Conn,UCCL08365 CU-MARK
SLC per Isabel V. Lyon,J. N. Ashburn,6 March 1909,Redding, Conn,UCCL08366 CU-MARK
SLC,Wallace Irwin,8 March 1909,Redding, Conn,UCCL00540 CU-BANC
SLC,Margery H. Clinton,8 March 1909,Redding, Conn,UCCL11285 NPV
SLC,George B. Harvey,8 March 1909,Redding, Conn,UCCL08367
SLC,Mary B. Rogers,8–9 March 1909,Redding, Conn,UCCL08368 NNC
SLC per Isabel V. Lyon,Norman Libby,10 March 1909,Redding, Conn,UCCL08369 CU-MARK
SLC,Maud W. Littleton,11 March 1909,Redding, Conn,UCCL11933 NElmC
SLC,Clara L. Clemens,11 March 1909,Redding, Conn,UCCL08370 CU-MARK
SLC,William D. Howells,13 March 1909,Redding, Conn,UCCL08372 MH-H
SLC,Stormfield guests,13 March 1909,Redding, Conn,UCCL09389 NN3
SLC,Helen K. Blackmer,13 March 1909,Redding, Conn,UCCL08373 CtY-BR
SLC per Isabel V. Lyon,Von Beck Canfield,19 March 1909,Redding, Conn,UCCL08374 CU-MARK
SLC,C. H. Johnston,22 March 1909,Redding, Conn,UCCL08375
SLC,The Public,23 March 1909,Redding, Conn,UCCL08376
SLC,Andrew Carnegie,26 March 1909,Redding, Conn,UCCL11158 DLC
SLC,John A. Macy,27 March 1909,Redding, Conn,UCCL10686 NNAF , CU-MARK 2024
SLC,Frances Nunnally,28 March 1909,Redding, Conn,UCCL08377 CSmH
Jean Clemens,New York Times editor,29 March 1909,Montclair, N.J,UCCL08378 CU-MARK
SLC,Sir Gilbert Parker,April 1909,Unknown place,UCCL13177
SLC,Elizabeth Wallace,April 1909,Redding, Conn,UCCL12955
Clara L. Clemens,SLC,April 1909,Unknown place,UCCL08379 CU-MARK
SLC,John A. Macy,8 April 1909,Redding, Conn,UCCL10687 NNAF
SLC per Isabel V. Lyon,Frederick T. Leigh,10 April 1909,Redding, Conn,UCCL08381 CU-MARK
Isabel V. Lyon,Archibald Henderson,10 April 1909,Redding, Conn,UCCL08380 NmA2
SLC,William G. Benbrook,22 April 1909,Redding, Conn,UCCL12964 2024
SLC,Frederick A. Duneka,12 April 1909,Redding, Conn,UCCL08382 DLC
SLC,William D. Howells,17 April 1909,Redding, Conn,UCCL08292 MH-H , NN-BGC
SLC,Lord Wolseley,17 April 1909,Redding, Conn,UCCL08384 UkBrH
IVL for SLC,National-American Women's Suffrage League,Before 17 April 1909,Redding, Conn,UCCL13637
SLC,Joseph H. Twichell,19 April 1909,Redding, Conn,UCCL08386 CU-MARK
SLC,Jean Clemens,19 April 1909,Redding, Conn,UCCL08385 CLjC
SLC,Elizabeth Wallace,22 April 1909,Redding, Conn,UCCL08387
SLC,Robert J. Collier,24 April 1909,Redding, Conn,UCCL08388
SLC,James M. Beck,25 April 1909,Redding, Conn,UCCL08389 CU-MARK
SLC,Henry H. Rogers,26 April 1909,Redding, Conn,UCCL08391 CtHMTH
SLC,Frances Nunnally,29 April 1909,Redding, Conn,UCCL08393 CSmH
SLC,Arthur K. Davis,29 April 1909,Redding, Conn,UCCL08392 ViU
SLC,Unidentified,30 April 1909,Redding, Conn,UCCL08394 NjMon2
SLC,Emilie R. Rogers,2 May 1909,Redding, Conn,UCCL08395 MFai
SLC,Unidentified,3 May 1909,Redding, Conn,UCCL13978 2023
SLC,Henry H. Rogers,4 May 1909,Redding, Conn,UCCL08396 Salm
SLC,Unidentified,9 May 1909,Redding, Conn,UCCL09684 2025
SLC,Henry H. Rogers,9 May 1909,Redding, Conn,UCCL08677 CU-MARK
SLC,Mrs. Charles W. Hubner,10 May 1909,Redding, Conn,UCCL14006 GU-HR 2023
SLC,Poultney Bigelow,18 May 1909,Redding, Conn,UCCL08398 NMh
SLC,M. B. Colcord,18 May 1909,Redding, Conn,UCCL08397 DFo
SLC,Frances Nunnally,18 May 1909,Redding, Conn,UCCL08399 CSmH
SLC,Marjorie Breckenridge,26 May 1909,Redding, Conn,UCCL08402 MiK2
SLC,Livius Lankford,26 May 1909,Redding, Conn,UCCL08921 NmR2
SLC,Elizabeth Wallace,26 May 1909,Redding, Conn,UCCL08403 CSmH
SLC,Dorothy Quick,26 May 1909,Redding, Conn,UCCL08401 CU-MARK
SLC,Poultney Bigelow,27 May 1909,Redding, Conn,UCCL08405 NMh
SLC,Unidentified,29 May 1909,Redding, Conn,UCCL08408
SLC,Mr. Scoville of the New York Telephone Company,29 May 1909,Redding, Conn,UCCL13122
SLC,Isabel V. Lyon,29 May 1909,Redding, Conn,UCCL08407 CU-MARK
Jean Clemens,SLC,1 June–30 September 1909,Redding, Conn,UCCL08299 CU-MARK
Isabel V. Lyon,SLC,3 June 1909,New York, N.Y,UCCL10980 CU-MARK
SLC,Unidentified,4 June 1909,Redding, Conn,UCCL13453 NBuBE
SLC,Erna Heydweiller,4 June 1909,Redding, Conn,UCCL12676 InFw2
SLC,Dorothy Quick,4 June 1909,Redding, Conn,UCCL08414 CU-MARK
SLC,Robert U. Johnson,5 June 1909,Redding, Conn,UCCL08416 ViU
SLC,Champ Clark,5 June 1909,Redding, Conn,UCCL08415 MoHM 2017
SLC,Amelia Dunne Hookway,5 June 1909,Redding, Conn,UCCL12230 CLjC
SLC,Frances Nunnally,7 June 1909,Redding, Conn,UCCL08419 CSmH
SLC,Elizabeth Wallace,7 June 1909,Redding, Conn,UCCL08418 CSmH
SLC,Amelia Dunne Hookway,7 June 1909,Redding, Conn,UCCL12231 CLjC
SLC,Gertrude,12 June 1909,Redding, Conn,UCCL12601
Jean Clemens,Nancy D. Brush,13 June 1909,Redding, Conn,UCCL08420 DSI
SLC,Unidentified,14 June 1909,Redding, Conn,UCCL08903 CU-MARK
Jean Clemens,Joseph H. Twichell,14 June 1909,Redding, Conn,UCCL10610 CtHSD
SLC,William R. Coe,16 June 1909,Redding, Conn,UCCL08421 CtHMTH
SLC,Unidentified,16 June 1909,Redding, Conn,UCCL10380
SLC,Frances Nunnally,18 June 1909,Redding, Conn,UCCL08422 CSmH
SLC,Franklin G. Whitmore,21 June 1909,Redding, Conn,UCCL08423 CtHMTH
SLC,Joseph H. Twichell,23 June 1909,Redding, Conn,UCCL08425 CtY-BR
SLC,Alexander McKeon,25 June 1909,Redding, Conn,UCCL08426 ViU 2024
SLC,Wilhelm Bartling,23 June 1909,Redding, Conn,UCCL13400 CU-MARK
SLC,Elizabeth Jordan,26 June 1909,Redding, Conn,UCCL08427 NN
SLC,Elizabeth Jordan,26 June 1909,Redding, Conn,UCCL08424 CU-MARK 2011
SLC,William R. Coe,27 June 1909,Redding, Conn,UCCL08428 CtHMTH
SLC,Helen Keller,29 June 1909,Redding, Conn,UCCL08429 NNAF
SLC,Frederick A. Duneka,30 June 1909,Redding, Conn,UCCL08430 MoSW
SLC,Elizabeth Wallace,July 1909,Redding, Conn,UCCL08431 CSmH
SLC,Charlotte Teller,July 1909,Redding, Conn,UCCL08293 NN-BGC
SLC,A. O. Eimer,4 July 1909,Redding, Conn,UCCL09390 MdU
SLC,Marjorie Breckenridge,6 July 1909,Redding, Conn,UCCL12312
SLC,Emily Georgina Kerr Byng (Lady Strafford),7 July 1909 (3rd of 3),Redding, Conn,UCCL12314 CU-MARK 2022
SLC,Emily Georgina Kerr Byng (Lady Strafford),7 July 1909 (2nd of 3),Redding, Conn,UCCL09933 CU-MARK 2022
SLC,Emily Georgina Kerr Byng (Lady Strafford),7 July 1909 (1st of 3),Redding, Conn,UCCL12313 CU-MARK 2022
Jean Clemens,Nancy D. Brush,8 July 1909,Redding, Conn,UCCL08432 DSI
Clara L. Clemens,SLC,9 July 1909,New York, N.Y,UCCL08434 CU-MARK
SLC,Dorothy Quick,11 July 1909,Redding, Conn,UCCL08433 CU-MARK
SLC,Frances Nunnally,15 July 1909,Redding, Conn,UCCL08413 CSmH
SLC and Jean Clemens,Eugene T. Skinkle,16 July 1909,Redding, Conn,UCCL12028 2015
SLC,Officers of the Produce Exchange Safe Deposit,17 July 1909,Redding, Conn,UCCL08436 2014
SLC,Charles T. Lark,17 July 1909,Redding, Conn,UCCL13212
SLC,Clara L. Clemens,18 July 1909,Redding, Conn,UCCL08435 CU-MARK
SLC,Eric Pape,19 July 1909,Redding, Conn,UCCL13521
Jean Clemens,Nancy D. Brush,29 July 1909,Redding, Conn,UCCL08437 DSI
Jean L. Clemens,Alice M. Pape,3 August 1909,Redding, Conn,UCCL13522 2016
SLC,John Brown, Jr.,5 August 1909,Redding, Conn,UCCL08438 StEdNL
SLC,J. Wylie Smith,7 August 1909 (draft),Redding, Conn,UCCL08440 CU-MARK 2016
SLC,Elinor M. Howells,7 August 1909,Redding, Conn,UCCL08441 MH-H
SLC,George B. Harvey,12 August 1909,Redding, Conn,UCCL08443 MH-H
SLC,Charles T. Lark,12 August 1909,Redding, Conn,UCCL12718 CU-MARK
SLC,A. Toxen-Worm,12 August 1909,Redding, Conn,UCCL08442 CU-MARK
SLC,Helene Elisabeth Picard,26 August 1909,Redding, Conn,UCCL08444 CU-MARK
SLC,Margery H. Clinton,27 August 1909,Redding, Conn,UCCL11242 NPV
SLC,Frances Nunnally,27 August 1909,Redding, Conn,UCCL08445 CSmH
SLC,Elizabeth Wallace,27 August 1909,Redding, Conn,UCCL08446 CSmH
SLC,David Rutherford,31 August 1909,Redding, Conn,UCCL08439 CU-MARK
SLC,Unidentified,September 1909,Redding, Conn,UCCL13517
SLC,Marjorie Breckenridge,September 1909,Redding, Conn,UCCL08690 MiK2
SLC,John Brown, Jr.,September 1909,Redding, Conn,UCCL08447 StEdNL
SLC,Board of Directors of the Mark Twain Company,5–9 September 1909,Redding, Conn,UCCL12344
SLC,Harry W. Dearborn,7 September 1909,Redding, Conn,UCCL08448 ViU
SLC per Albert Bigelow Paine,Archibald Henderson,9 September 1909,Redding, Conn,UCCL08449 NmA2
SLC,Helen S. Allen,10 September 1909,Redding, Conn,UCCL11796 BmuHA
SLC,Dorothy Quick,10 September 1909,Redding, Conn,UCCL08450 CU-MARK
SLC,Harper & Brothers,11 September 1909,Redding, Conn,UCCL12912 CU-MARK
SLC,Adolph Ochs,13 September 1909,Redding, Conn,UCCL12717 CU-MARK
SLC,Melville E. Stone,14 September 1909,Redding, Conn,UCCL08451 CU-MARK
SLC,Margaret Blackmer,15 September 1909,Redding, Conn,UCCL08453 CtY-BR
SLC,John P. Morgan,15 September 1909,Redding, Conn,UCCL08452 NNPM
SLC,J. Pierpont Morgan,15 September 1909,Redding, Connecticut,UCCL13044 CU-MARK 2012
Albert B. Paine for SLC,Lilian I. Stivers,15 September 1909,Redding, Connecticut,UCCL13068 CU-MARK
SLC,Champ Clark,16 September 1909,Redding, Conn,UCCL11689 InFw2
SLC,Abbott H. Thayer,16 September 1909,Redding, Conn,UCCL13136 DSI-AAA
SLC,Joseph H. Twichell,19–27 September 1909,Redding, Conn,UCCL08454 CtY-BR
SLC per Albert Bigelow Paine,Archibald Henderson,20 September 1909,Redding, Conn,UCCL08455 NmA2
SLC,William Osler,21 September 1909,Redding, Conn,UCCL08456 IAurC
SLC,Helen S. Allen,21 September 1909,Redding, Conn,UCCL11781 BmuHA
SLC,Elizabeth Wallace,22 September 1909,Redding, Conn,UCCL08457 CSmH
SLC,Augusta M. D. Ogden,22 September 1909,Redding, Conn,UCCL08458 DLC
Jean Clemens,Nancy D. Brush,22 September 1909,Redding, Conn,UCCL08459 DSI
Clara L. Clemens,Joseph H. Twichell,26 September 1909,Redding, Conn,UCCL10631 CtHSD
SLC,Frances Nunnally,27 September 1909,Redding, Conn,UCCL08460 CSmH
SLC,Isabel S. Wayland,29 September 1909,Redding, Conn,UCCL10579 Axelrod
SLC,Melville E. Stone,30 September 1909,Redding, Conn,UCCL08461 ICN
Jean Clemens,Marguerite Schmitt,30 September 1909,Redding, Conn,UCCL08462 NmA2
SLC,William Wymark Jacobs,October 1909,Unknown place,UCCL13306
SLC,George Morris Philips,October 1909,Redding, Conn,UCCL13582 PWcS
SLC,Mrs. Edward Quintard,1 October 1909,Redding, Conn,UCCL12426 MoHH
SLC,Margery H. Clinton,1 October 1909,Redding, Conn,UCCL11284 NPV
SLC,Helen S. Allen,1 October 1909,Redding, Conn,UCCL11785 BmuHA
Clara L. Clemens,Mrs. Edward Quintard,1 October 1909,New York, N.Y,UCCL12391 MoHH
Clara L. Clemens,Harmony C. Twichell,1 October 1909,Redding, Conn,UCCL10632 CtHSD
SLC,Helen Garth,2 October 1909,Redding, Conn,UCCL08464 TxU-Hu
SLC,Marion Schuyler Allen,5 October 1909,Redding, Conn,UCCL13728
SLC,Julian Alden Weir,6 October 1909,Redding, Conn,UCCL13508 UPB
SLC,Unidentified,7 October 1909,Redding, Conn,UCCL14058 2024
SLC,Helen S. Allen,7 October 1909,Redding, Conn,UCCL11829 BmuHA
SLC,Helen S. Allen,7 October 1909,Redding, Conn,UCCL11697 BmuHA
SLC,William Winter,7–13 October 1909,Redding, Conn,UCCL12002
SLC,Unidentified,7–13 October 1909,Redding, Conn,UCCL12003 CU-MARK
SLC,Richard Watson Gilder and Helena Gilder,7–13 October 1909,Redding, Conn,UCCL12065
SLC,Harriet W. Enders,7–13 October 1909,Redding, Conn,UCCL10591 CtHMTH
SLC,George Bernard Shaw,7–13 October 1909,Redding, Conn,UCCL12580 Uk
SLC,Louise Paine,9 October 1909,Redding, Conn,UCCL12973 Me4
Albert Bigelow Paine for SLC,Warren Mason for the London Daily Express,9 October 1909,Redding, Conn,UCCL12913 CU-MARK 2019
SLC,William Henry Bishop,11 October 1909,Redding, Conn,UCCL08466 CtY-BR , CtHMTH
SLC,Richard E. Johnston,12 October 1909,Redding, Conn,UCCL11924
SLC,John Bigelow,12 October 1909,Redding, Conn,UCCL13474 NN
SLC,Helen S. Allen,12 October 1909,Redding, Conn,UCCL11786 BmuHA
Clara L. Clemens,Harriet C. Sprague,12 or 19 October 1909,Redding, Conn,UCCL13670 CU-MARK 2019
SLC,William Henry Bishop,13 October 1909,Redding, Conn,UCCL11325 Axelrod 2024
SLC,Helen K. Blackmer,13 October 1909,Redding, Conn,UCCL08468 CtY-BR 2024
SLC,Augusta M. D. Ogden,13 October 1909,Redding, Conn,UCCL08467 DLC 2024
SLC,Anna M. Vilas,13 October 1909,Redding, Conn,UCCL08469 WHi 2024
Jean Clemens for SLC,Eulabee Dix,13 October 1909,Redding, Conn,UCCL13720 DSI-NPG 2024
Clara L. Clemens,Richard E. Johnston,13 October 1909,Unknown place,UCCL11925 2024
SLC,Clara C. Gabrilowitsch,14–15 October 1909,Redding, Conn,UCCL08463 CU-MARK 2024
SLC,G.T. Heald,15–31 October 1909,Redding, Conn,UCCL13948 CU-MARK
SLC,Helen S. Allen,16 October 1909,Redding, Conn,UCCL10381
Jean Clemens,Joseph H. Twichell,17 October 1909,Redding, Conn,UCCL10611 CtHSD
SLC,Frank J. Sprague,18 October 1909,Redding, Conn,UCCL10491 CU-MARK
SLC per Albert Bigelow Paine,Archibald Henderson,18 October 1909,Redding, Conn,UCCL08471 NmA2
SLC,Augusta M. D. Ogden,19 October 1909,Redding, Conn,UCCL08472 DLC
Jean Clemens,Marguerite Schmitt,19 October 1909,Redding, Conn,UCCL08473 NmA2
SLC,Irene Gerken,20 October 1909,Redding, Conn,UCCL08474 NjMon2
SLC,Georgina Sullivan Jones,21 October 1909,Redding, Conn,UCCL12247 CSmH
SLC,Elizabeth Hatch,23 October 1909,Redding, Conn,UCCL08904 CtHMTH
SLC,Thomas Power O’Connor,26 October 1909,Redding, Conn,UCCL08475 CU-MARK
SLC,Frederick A. Duneka,27 October 1909,Redding, Conn,UCCL08476 NNC
SLC,Beatrice M. Benjamin,27 October 1909,Redding, Conn,UCCL08477 IaCr2
SLC,Arthur Conan Doyle,28–29 October 1909,Redding, Conn,UCCL12331 CU-MARK 2016
SLC,David W. Seaver,29 October 1909,Redding, Conn,UCCL08294 NN-BGC
SLC,Beatrice M. Benjamin,29 October 1909,Redding, Conn,UCCL08479 NN3
Albert Bigelow Paine for SLC,Arthur Conan Doyle,29 October 1909,Redding, Conn,UCCL08478 2016
SLC,Helen S. Allen,30 October 1909,Redding, Conn,UCCL11787 BmuHA
SLC,Helen K. Blackmer,30 October 1909,Redding, Conn,UCCL08481 CtY-BR
SLC,Augusta M. D. Ogden,30 October 1909,Redding, Conn,UCCL08480 DLC
Jean Clemens,Tabitha Greening,2 November 1909,Redding, Conn,UCCL11249 MoFuWC
SLC,Harper & Brothers,3 November 1909,Redding, Conn,UCCL11108
SLC,William D. Howells,7 November 1909,Redding, Conn,UCCL08484 MH-H
SLC,Margery H. Clinton,7 November 1909,Redding, Conn,UCCL11243 NPV
SLC,Beatrice M. Benjamin,7 November 1909,Redding, Conn,UCCL08482 NN3
Jean Clemens,Marguerite Schmitt,7 November 1909,Redding, Conn,UCCL08483 NmA2
SLC,Oscar Garett Wall,8 November 1909,Redding, Conn,UCCL13619 TxAu3
SLC,Helen Roberts,8 November 1909,Redding, Conn,UCCL08485 CU-MARK
SLC,Unidentified,10 November 1909,Redding, Conn,UCCL08488 CU-MARK
SLC,Elizabeth Wallace,10 November 1909,Redding, Conn,UCCL08487 CSmH
Jean Clemens,Nancy D. Brush,10 November 1909,Redding, Conn,UCCL08489 DSI
SLC,Lillian I. Stivers,11 November 1909,Redding, Conn,UCCL11636 CFr2
SLC,Elizabeth Wallace,13 November 1909,Redding, Conn,UCCL08490 CSmH
Clara C. Gabrilowitsch,Harriet C. Sprague,14 November 1909,Atlantic City, N.J,UCCL13668 CU-MARK 2019
Albert Bigelow Paine for SLC,Archibald Henderson,15 November 1909,Redding, Conn,UCCL08492 NmA2
SLC,Margery H. Clinton,17 November 1909,Redding, Conn,UCCL11244 NPV , Axelrod
SLC,Margaret Blackmer,18 November 1909,Redding, Conn,UCCL08495 CtY-BR
SLC,Dorothy Quick,18 November 1909,Redding, Conn,UCCL08494 CU-MARK
SLC per Albert Bigelow Paine,American Civic Alliance,18 November 1909,Redding, Conn,UCCL08493 CU-MARK
SLC,Joseph B. Gilder,19 November 1909,Redding, Conn,UCCL08496 NN
Jean Clemens,SLC,20 November 1909,Redding, Conn,UCCL08497 CU-MARK
Jean Clemens,Marguerite Schmitt,20 November 1909,Redding, Conn,UCCL08498 NmA2
SLC,Helen S. Allen,25 November 1909,Hamilton, Bermuda,UCCL08499
SLC,Clara L. Clemens,26 November 1909,Hamilton, Bermuda,UCCL08500 CU-MARK
Jean Clemens,Joseph H. Twichell,27 November 1909,Redding, Conn,UCCL10612 CtHSD
Jean Clemens,Nancy D. Brush,28 November 1909,Redding, Conn,UCCL08501 DSI
Jean L. Clemens,Finley Peter Dunne,30 November 1909,Redding, Conn,UCCL08502 CU-MARK 2019
Jean Clemens,David W. Seaver,30 November 1909,Redding, Conn,UCCL07290 NN-BGC
Clara C. Gabrilowitsch,Harriet C. Sprague,4 December 1909,Atlantic City, N.J,UCCL13669 CU-MARK 2019
SLC,Jean Clemens,6 December 1909,Hamilton, Bermuda,UCCL08507 CU-MARK
SLC,Clara L. Clemens,6 December 1909,Hamilton, Bermuda,UCCL08506 CU-MARK
Jean Clemens,Nannie S. Thaxton,6 December 1909,Redding, Conn,UCCL08508 TxU-Hu
SLC,Bermand Walker,13 December 1909,Hamilton, Bermuda,UCCL09645 NN-BGC
Jean Clemens,William L. Phelps,13 December 1909,Redding, Conn,UCCL08509 CtY-BR
SLC,Frances Nunnally,14 December 1909,Hamilton, Bermuda,UCCL08510 CSmH
SLC,Louise Paine,17 December 1909,Hamilton, Bermuda,UCCL12975 Me4
SLC,Frances Nunnally,17 December 1909,Hamilton, Bermuda,UCCL07895 CSmH
SLC,Elizabeth Wallace,17 December 1909,Hamilton, Bermuda,UCCL08511 CSmH 2023
SLC,Helen S. Allen,18–20 December 1909,SS Bermudian,UCCL11780 BmuHA
SLC,Marion S. Allen,19 December 1909,SS Bermudian,UCCL11779 BmuHA
Jean Clemens,Marguerite Schmitt,19 December 1909,Redding, Conn,UCCL08512 NmA2
Jean Clemens,Marguerite Schmitt,21 December 1909,Redding, Conn,UCCL08513 NmA2
SLC,William H. Allen,22 December 1909,Redding, Conn,UCCL11793 BmuHA
SLC,Associated Press,24 December 1909,Redding, Conn,UCCL08516 MoSW
SLC,Ethel Newcomb,24 December 1909,Redding, Conn,UCCL08514 CU-MARK
SLC,Emilie R. (Mrs. H. H.) Rogers,24 December 1909,Redding, Conn,UCCL08515 CU-MARK 2019
SLC,Annie M. Webster,25 December 1909,Redding, Conn,UCCL08517 CU-MARK , NPV
SLC,Printer,26 December 1909,Redding, Conn,UCCL11212 CLjC
SLC,Marguerite Schmitt,26 December 1909,Redding, Conn,UCCL08518
SLC,Lilian W. Aldrich,26 December 1909,Redding, Conn,UCCL08519 MH-H
SLC,Grace E. King,After 26 December 1909,Redding, Conn,UCCL06962 CPlh2 , LaBrUHM 2017
SLC,Frank J. Sprague and Harriet Sprague,26 December 1909,Redding, Conn,UCCL11912 CU-MARK
SLC,Bram Stoker,26 December 1909,Redding, Conn,UCCL08295 NN-BGC
SLC per Albert Bigelow Paine,Josephine S. Hobby,26 December 1909–7 January 1910,Redding, Conn,UCCL10547 CtHPL
SLC per Albert Bigelow Paine,Charles J. Langdon family,26 December 1909–7 January 1910,Redding, Conn,UCCL08521 CtHMTH
SLC per Albert Bigelow Paine,Mary E. Moffett,26 December 1909–8 January 1910,Redding, Conn,UCCL11535 Mn2
SLC per Albert Bigelow Paine,Elisabeth N. Fairchild,26 December 1909–9 January 1910,Redding, Conn,UCCL08530 ViU
SLC per Albert Bigelow Paine,Virginia F. Boyle,26 December 1909–10 January 1910,Redding, Conn,UCCL11542 Mn2
SLC,Margaret Blackmer,26 December 1909–15 January 1910,Hamilton, Bermuda,UCCL08541 CtY-BR
SLC per Albert Bigelow Paine,Paul Kester,26 December 1909–17 January 1910,Redding, Conn,UCCL08543 NN
SLC,Helen Keller,26 December 1909–26 January 1910,Hamilton, Bermuda,UCCL10688 NNAF
SLC per Albert Bigelow Paine,Katharine B. Clemens,26 December 1909–16 March 1910,Redding, Conn,UCCL11005 CtHMTH
SLC,Mai H. Coe,27 December 1909,Redding, Conn,UCCL08524 CtHMTH
SLC,Joseph H. Twichell and Harmony C. Twichell,27 December 1909,Redding, Conn,UCCL08525 CtY-BR
Clara L. Clemens,SLC,27 December 1909,Wiesbaden, Germany,UCCL08523 CU-MARK
SLC,John Bigelow,28 December 1909,Redding, Conn,UCCL13515 NSchU
SLC,Harriet E. Whitmore,28 December 1909,Redding, Conn,UCCL08526 CtHMTH
SLC,Mary B. Rogers,29 December 1909,Redding, Conn,UCCL08529 NNC
SLC,Harriet A. Rathbone,29 December 1909,Redding, Conn,UCCL08528 NElmC
SLC,Clara L. Clemens,29 December 1909,Redding, Conn,UCCL08527 CSmH
SLC,Unidentified,Unknown date,Redding, Conn,UCCL08301 CU-MARK
SLC,Hackley Public Library,1909,Redding, Conn,UCCL13470
SLC,Alphonso T. Clearwater,Unknown date,Unknown place,UCCL13341
Albert B. Paine for SLC,Louis J. Keller,January 1910,Unknown place,UCCL13059 CU-MARK
SLC,Unidentified,1 January 1910,Redding, Conn,UCCL08534
SLC,Elizabeth Wallace,1 January 1910,Redding, Conn,UCCL08532 CSmH
Albert Bigelow Paine,William H. Allen,1 January–29 April 1910,Redding, Conn,UCCL09479 CU-MARK 2022
Albert B. Paine for SLC,William H. Allen,3 January 1910,Redding, Connecticut,UCCL13056 BmuHA
Albert Bigelow Paine for SLC,William H. Allen per Telegraph Operator,5 January 1910,New York, N.Y,UCCL13057 BmuHA
SLC,Frederick T. Leigh and Frederick A. Duneka,7 January 1910,Hamilton, Bermuda,UCCL08536 JIm
SLC,Edward E. Loomis and Julia (Julie) L. Loomis,7 January 1910,Hamilton, Bermuda,UCCL08535 CU-MARK
SLC,Roberts,7–31 January 1910,Hamilton, Bermuda,UCCL08533 CU-MARK
SLC,Daisy Alberta Hardy Tear,7 January–28 March 1910,Hamilton, Bermuda,UCCL14049 2024
SLC,Unidentified,7 January–7 April 1910,Hamilton, Bermuda,UCCL11366
SLC per Albert Bigelow Paine,John L. RoBards,10–11 January 1910,Redding, Conn,UCCL11965 MoHM 2022
SLC,Albert Bigelow Paine,11 January 1910,Hamilton, Bermuda,UCCL08537
SLC,Albert Bigelow Paine,11–20 January 1910,Hamilton, Bermuda,UCCL08302 NN2 2022
SLC,Albert Bigelow Paine,14 January 1910,Hamilton, Bermuda,UCCL12583 2022
SLC,Ethel Donaldson Sloan,15 January 1910,Hamilton, Bermuda,UCCL13075
Albert B. Paine for SLC,William W. Jackson,15–20 January 1910,Redding, Connecticut,UCCL13058 CU-MARK
Albert Bigelow Paine for SLC,E. Gertrude Quick,17 January 1910,Redding, Conn,UCCL08540 CU-MARK
Clara L. Clemens,Julia O. Langdon,20 January 1910,Berlin, Germany,UCCL08542 CU-MARK
SLC,Albert Bigelow Paine,21 January 1910,Hamilton, Bermuda,UCCL08544
Clara L. Clemens,Julia O. Langdon,23 January 1910,Unknown place,UCCL08545 CU-MARK
SLC,John A. Moroso,24 January 1910,Hamilton, Bermuda,UCCL13128
SLC,Albert Bigelow Paine,24 January 1910,Hamilton, Bermuda,UCCL08546 2015
SLC,Albert Bigelow Paine,25 January 1910,Hamilton, Bermuda,UCCL09412 CStoC
SLC,New York Evening World,26 January 1910,Hamilton, Bermuda,UCCL13857 2019
SLC,Margaret Illington Bowes,26 January 1910,Hamilton, Bermuda,UCCL08552 PAt2
SLC,Margaret Blackmer,26 January 1910,Hamilton, Bermuda,UCCL08551 CtY-BR
SLC,Elizabeth Wallace,26–29 January 1910,Hamilton, Bermuda,UCCL08548 CSmH
SLC per Helen S. Allen,Albert Bigelow Paine,27 January 1910,Hamilton, Bermuda,UCCL11839 CU-MARK
